Date,Day,Month,MonthShort,MonthNO,Quarter,Year
2019-01-01,Tuesday,January,Jan,1,1,2019
2019-01-02,Wednesday,January,Jan,1,1,2019
2019-01-03,Thursday,January,Jan,1,1,2019
2019-01-04,Friday,January,Jan,1,1,2019
2019-01-05,Saturday,January,Jan,1,1,2019
2019-01-06,Sunday,January,Jan,1,1,2019
2019-01-07,Monday,January,Jan,1,1,2019
2019-01-08,Tuesday,January,Jan,1,1,2019
2019-01-09,Wednesday,January,Jan,1,1,2019
2019-01-10,Thursday,January,Jan,1,1,2019
2019-01-11,Friday,January,Jan,1,1,2019
2019-01-12,Saturday,January,Jan,1,1,2019
2019-01-13,Sunday,January,Jan,1,1,2019
2019-01-14,Monday,January,Jan,1,1,2019
2019-01-15,Tuesday,January,Jan,1,1,2019
2019-01-16,Wednesday,January,Jan,1,1,2019
2019-01-17,Thursday,January,Jan,1,1,2019
2019-01-18,Friday,January,Jan,1,1,2019
2019-01-19,Saturday,January,Jan,1,1,2019
2019-01-20,Sunday,January,Jan,1,1,2019
2019-01-21,Monday,January,Jan,1,1,2019
2019-01-22,Tuesday,January,Jan,1,1,2019
2019-01-23,Wednesday,January,Jan,1,1,2019
2019-01-24,Thursday,January,Jan,1,1,2019
2019-01-25,Friday,January,Jan,1,1,2019
2019-01-26,Saturday,January,Jan,1,1,2019
2019-01-27,Sunday,January,Jan,1,1,2019
2019-01-28,Monday,January,Jan,1,1,2019
2019-01-29,Tuesday,January,Jan,1,1,2019
2019-01-30,Wednesday,January,Jan,1,1,2019
2019-01-31,Thursday,January,Jan,1,1,2019
2019-02-01,Friday,February,Feb,2,1,2019
2019-02-02,Saturday,February,Feb,2,1,2019
2019-02-03,Sunday,February,Feb,2,1,2019
2019-02-04,Monday,February,Feb,2,1,2019
2019-02-05,Tuesday,February,Feb,2,1,2019
2019-02-06,Wednesday,February,Feb,2,1,2019
2019-02-07,Thursday,February,Feb,2,1,2019
2019-02-08,Friday,February,Feb,2,1,2019
2019-02-09,Saturday,February,Feb,2,1,2019
2019-02-10,Sunday,February,Feb,2,1,2019
2019-02-11,Monday,February,Feb,2,1,2019
2019-02-12,Tuesday,February,Feb,2,1,2019
2019-02-13,Wednesday,February,Feb,2,1,2019
2019-02-14,Thursday,February,Feb,2,1,2019
2019-02-15,Friday,February,Feb,2,1,2019
2019-02-16,Saturday,February,Feb,2,1,2019
2019-02-17,Sunday,February,Feb,2,1,2019
2019-02-18,Monday,February,Feb,2,1,2019
2019-02-19,Tuesday,February,Feb,2,1,2019
2019-02-20,Wednesday,February,Feb,2,1,2019
2019-02-21,Thursday,February,Feb,2,1,2019
2019-02-22,Friday,February,Feb,2,1,2019
2019-02-23,Saturday,February,Feb,2,1,2019
2019-02-24,Sunday,February,Feb,2,1,2019
2019-02-25,Monday,February,Feb,2,1,2019
2019-02-26,Tuesday,February,Feb,2,1,2019
2019-02-27,Wednesday,February,Feb,2,1,2019
2019-02-28,Thursday,February,Feb,2,1,2019
2019-03-01,Friday,March,Mar,3,1,2019
2019-03-02,Saturday,March,Mar,3,1,2019
2019-03-03,Sunday,March,Mar,3,1,2019
2019-03-04,Monday,March,Mar,3,1,2019
2019-03-05,Tuesday,March,Mar,3,1,2019
2019-03-06,Wednesday,March,Mar,3,1,2019
2019-03-07,Thursday,March,Mar,3,1,2019
2019-03-08,Friday,March,Mar,3,1,2019
2019-03-09,Saturday,March,Mar,3,1,2019
2019-03-10,Sunday,March,Mar,3,1,2019
2019-03-11,Monday,March,Mar,3,1,2019
2019-03-12,Tuesday,March,Mar,3,1,2019
2019-03-13,Wednesday,March,Mar,3,1,2019
2019-03-14,Thursday,March,Mar,3,1,2019
2019-03-15,Friday,March,Mar,3,1,2019
2019-03-16,Saturday,March,Mar,3,1,2019
2019-03-17,Sunday,March,Mar,3,1,2019
2019-03-18,Monday,March,Mar,3,1,2019
2019-03-19,Tuesday,March,Mar,3,1,2019
2019-03-20,Wednesday,March,Mar,3,1,2019
2019-03-21,Thursday,March,Mar,3,1,2019
2019-03-22,Friday,March,Mar,3,1,2019
2019-03-23,Saturday,March,Mar,3,1,2019
2019-03-24,Sunday,March,Mar,3,1,2019
2019-03-25,Monday,March,Mar,3,1,2019
2019-03-26,Tuesday,March,Mar,3,1,2019
2019-03-27,Wednesday,March,Mar,3,1,2019
2019-03-28,Thursday,March,Mar,3,1,2019
2019-03-29,Friday,March,Mar,3,1,2019
2019-03-30,Saturday,March,Mar,3,1,2019
2019-03-31,Sunday,March,Mar,3,1,2019
2019-04-01,Monday,April,Apr,4,2,2019
2019-04-02,Tuesday,April,Apr,4,2,2019
2019-04-03,Wednesday,April,Apr,4,2,2019
2019-04-04,Thursday,April,Apr,4,2,2019
2019-04-05,Friday,April,Apr,4,2,2019
2019-04-06,Saturday,April,Apr,4,2,2019
2019-04-07,Sunday,April,Apr,4,2,2019
2019-04-08,Monday,April,Apr,4,2,2019
2019-04-09,Tuesday,April,Apr,4,2,2019
2019-04-10,Wednesday,April,Apr,4,2,2019
